Reporting Region,City,State,Zip,Country,FullAddress,lat,lng
EMEA,Casablanca,.,20100,MOROCCO,Casablanca  20100 Morocco,33.5565238,-7.6224518
EMEA,Oude Meer,....,1438 BB,NETHERLANDS,Oude Meer  1438 BB Netherlands,52.2870429,4.7810014
EMEA,AMSTERDAM,.,1047 HP,NETHERLANDS,Amsterdam  1047 HP Netherlands,52.4029485,4.7581704
EMEA,Oslo,.,580,NORWAY,Oslo  580 Norway,60.8949398,9.460209
EMEA,Muscat,.,Mutrah 114,OMAN,Muscat  Mutrah 114 Oman,23.6079401,58.5492332
EMEA,Warsaw,.,02-386,POLAND,Warsaw  02-386 Poland,52.2007567,20.962258
EMEA,Wroclaw,Poland,52-404,POLAND,Wroclaw Poland 52-404 Poland,51.1078852,17.0385376
EMEA,1100-287 LISBOA,.,1100-287,Portugal,1100-287 lisboa  1100-287 Portugal,38.7124302,-9.1262462
EMEA,Doha,.,.,QATAR,Doha   Qatar,25.280282,51.522476
EMEA,Podolsk,Moscow,142101,RUSSIAN FEDERATION,Podolsk Moscow 142101 Russian federation,55.4313959,37.5448155
EMEA,Jeddah,.,.,SAUDI ARABIA,Jeddah   Saudi arabia,21.543489,39.172989
EMEA,Riyadh,Riyadh,11583,SAUDI ARABIA,Riyadh Riyadh 11583 Saudi arabia,25.1341735,46.4531887
EMEA,Isando,Gauteng,1620,SOUTH AFRICA,Isando Gauteng 1620 South africa,-26.1415082,28.2021017
EMEA,BARCELONA-HOSPITALET,.,8908,SPAIN,Barcelona-hospitalet  8908 Spain,41.3618145,2.0993939
EMEA,BASAURI,.,48970,SPAIN,Basauri  48970 Spain,43.2359392,-2.8894963
